label,"1인당 GDP"
2021,34757.7200705078
2020,31597.5046490718
2019,31902.4169048194
2018,33436.9230646064
2017,31616.8434004683
2016,29288.8704389833
2015,28732.2310762599
2014,29249.5752209742
2013,27182.7343101936
2012,25466.7605170594
2011,25096.2638838239
2010,23087.2256438476
2009,19143.8516053025
2008,21350.427979823
2007,24086.4104391677
2006,21743.4774514254
2005,19402.5026259549
2004,16496.1200942502
2003,14672.8574703505
2002,13165.0657360554
2001,11561.2483689073
2000,12256.9935679503
1999,10672.4179334373
1998,8281.69998157684
1997,12398.4800276705
1996,13403.049586225
1995,12564.7781344586
1994,10385.3361681219
1993,8884.92831945455
1992,8126.67038993422
1991,7636.98242937015
1990,6610.0365083067
1989,5817.02918132136
1988,4748.62960780671
1987,3554.59520559057
1986,2834.90384756925
1985,2482.39995573606
1984,2413.26392539765
1983,2198.93447182242
1982,1992.52822470637
1981,1883.4512785111
1980,1715.42945990136
1979,1783.62231287847
1978,1405.82237444554
1977,1055.8800411599
1976,834.134207951691
1975,617.456061933567
1974,563.355957816833
1973,406.898830134849
1972,324.196276804765
1971,301.176567717333
1970,279.304968942819
1969,243.422412925948
1968,198.431298008386
1967,161.159931018546
1966,133.474848530354
1965,108.722131222718
1964,123.603494825331
1963,146.314341932979
1962,106.148505720006
1961,93.8286490466039
1960,158.249303269821
