지역,구분,학교,학교 외 집단급식,음식점,가정집,기타,불명,합계
서울,발생건수,1,4,28,0,2,1,36
서울,환자수,260,114,310,0,33,2,719
부산,발생건수,3,2,7,0,1,2,15
부산,환자수,180,25,29,0,6,23,263
대구,발생건수,2,1,4,0,4,0,11
대구,환자수,96,26,10,0,25,0,157
인천,발생건수,3,0,11,0,3,0,17
인천,환자수,298,0,77,0,22,0,397
광주,발생건수,0,0,8,0,0,0,8
광주,환자수,0,0,53,0,0,0,53
대전,발생건수,3,0,3,0,0,0,6
대전,환자수,56,0,8,0,0,0,64
울산,발생건수,0,0,2,0,1,0,3
울산,환자수,0,0,12,0,8,0,20
세종,발생건수,0,1,0,0,0,0,1
세종,환자수,0,5,0,0,0,0,5
경기,발생건수,4,10,33,0,9,0,56
경기,환자수,122,186,259,0,138,0,705
강원,발생건수,2,3,6,1,6,0,18
강원,환자수,22,65,25,2,76,0,190
충북,발생건수,4,2,9,1,3,0,19
충북,환자수,124,51,49,2,38,0,264
충남,발생건수,1,2,8,0,6,0,17
충남,환자수,39,76,83,0,193,0,391
전북,발생건수,0,0,13,0,1,0,14
전북,환자수,0,0,77,0,20,0,97
전남,발생건수,0,0,8,0,1,0,9
전남,환자수,0,0,178,0,39,0,217
경북,발생건수,1,3,10,1,3,0,18
경북,환자수,17,56,77,3,44,0,197
경남,발생건수,0,1,18,0,7,0,26
경남,환자수,0,16,96,0,116,0,228
제주,발생건수,0,0,6,0,0,0,6
제주,환자수,0,0,62,0,0,0,62
불명,발생건수,0,0,1,0,1,4,6
불명,환자수,0,0,4,0,6,36,46
합계,발생건수,24,29,175,3,48,7,286
합계,환자수,1214,620,1409,7,764,61,4075
